result_id,model,reversed,threats,mitigations,risks_same,risks_more,risks_less
0,phi3:14b-medium-128k-instruct-q4_K_M,False,"[1, 2, 4, 5, 5, 6, 7, 8, 9, 10, 11, 11]","[1, 4, 5, 5, 6, 9, 10, 11]","[2, 5, 5, 7, 8]","[1, 4, 6, 9, 10, 11, 11]",[]
1,phi3:14b-medium-128k-instruct-q4_K_M,False,"[1, 2, 4, 5, 5, 6, 7, 7, 8, 8, 9, 10, 11, 11]","[1, 4, 5, 5, 6, 9, 10, 11]","[2, 5, 5, 7, 8]","[1, 4, 6, 7, 8, 9, 10, 11, 11]",[]
2,phi3:14b-medium-128k-instruct-q4_K_M,False,"[1, 2, 4, 5, 5, 6, 7, 7, 8, 8, 9, 10, 11, 11]","[1, 4, 5, 5, 6, 9, 10, 11]","[2, 5, 5, 7, 8]","[1, 4, 6, 7, 8, 9, 10, 11, 11]",[]
3,phi3:14b-medium-128k-instruct-q4_K_M,False,"[1, 2, 4, 5, 5, 6, 7, 8, 8, 9, 10, 11, 11]","[1, 4, 5, 5, 6, 9, 10, 11]","[2, 5, 5, 7, 8, 11]","[1, 4, 6, 8, 9, 10, 11]",[]
4,phi3:14b-medium-128k-instruct-q4_K_M,False,"[1, 2, 4, 5, 5, 6, 7, 7, 8, 8, 9, 10, 11, 11]","[1, 4, 5, 5, 6, 9, 10, 11]","[2, 5, 5, 7, 8]","[1, 4, 7, 8, 9, 10, 11, 11]",[6]
5,phi3:14b-medium-128k-instruct-q4_K_M,False,"[1, 2, 4, 5, 5, 6, 7, 7, 8, 9, 10, 11, 11]","[1, 4, 5, 5, 6, 9, 10, 11]","[2, 5, 5, 7, 8, 10]","[1, 4, 6, 7, 9, 11, 11]",[]
6,phi3:14b-medium-128k-instruct-q4_K_M,False,"[1, 2, 4, 5, 5, 6, 7, 7, 8, 8, 9, 10, 11, 11]","[1, 4, 5, 5, 6, 9, 10, 11]","[2, 5, 5, 7, 8]","[1, 4, 6, 7, 8, 9, 10, 11, 11]",[]
7,phi3:14b-medium-128k-instruct-q4_K_M,False,"[1, 2, 4, 5, 5, 6, 7, 7, 8, 8, 9, 10, 11, 11]","[1, 4, 5, 5, 6, 9, 10, 11]","[2, 5, 5, 7, 8]","[1, 4, 6, 7, 8, 9, 10, 11, 11]",[]
8,phi3:14b-medium-128k-instruct-q4_K_M,False,"[1, 2, 4, 5, 5, 6, 7, 7, 8, 9, 10, 11, 11]","[1, 4, 5, 5, 6, 9, 10, 11]","[2, 5, 5, 7, 8, 11]","[1, 4, 6, 7, 9, 10, 11]",[]
9,phi3:14b-medium-128k-instruct-q4_K_M,False,"[1, 2, 4, 5, 5, 6, 7, 8, 9, 10, 11, 11]","[1, 4, 5, 5, 6, 9, 10, 11]","[2, 5, 5, 7, 8]","[1, 4, 6, 9, 10, 11, 11]",[]
10,phi3:14b-medium-128k-instruct-q4_K_M,False,"[1, 2, 3, 4, 5, 5, 6, 7, 7, 8, 8, 9, 10, 11, 11]","[1, 2, 3, 4, 5, 5, 6, 9, 10, 11]",[8],"[1, 2, 3, 4, 5, 5, 6, 7, 7, 8, 9, 10, 11, 11]",[]
11,phi3:14b-medium-128k-instruct-q4_K_M,False,"[1, 2, 3, 4, 5, 5, 6, 7, 7, 8, 8, 9, 10, 11, 11]","[1, 2, 3, 4, 5, 5, 6, 9, 10, 11]",[],"[1, 2, 3, 4, 5, 5, 6, 7, 7, 8, 8, 9, 10, 11, 11]",[]
12,phi3:14b-medium-128k-instruct-q4_K_M,False,"[1, 2, 3, 4, 5, 5, 6, 6, 7, 7, 8, 8, 9, 10, 11, 11]","[1, 3, 4, 5, 5, 6, 9, 10, 11]",[],"[1, 2, 3, 4, 5, 5, 6, 6, 7, 7, 8, 8, 9, 10, 11, 11]",[]
13,phi3:14b-medium-128k-instruct-q4_K_M,False,"[1, 2, 3, 4, 5, 5, 6, 6, 7, 7, 8, 8, 9, 10, 11, 11]","[1, 3, 4, 5, 5, 6, 9, 10, 11]",[7],"[1, 2, 3, 4, 5, 5, 6, 6, 7, 8, 8, 9, 10, 11, 11]",[]
14,phi3:14b-medium-128k-instruct-q4_K_M,False,"[1, 2, 3, 4, 5, 5, 6, 7, 7, 8, 8, 9, 10, 11, 11]","[1, 3, 4, 5, 5, 6, 9, 10, 11]",[7],"[1, 2, 3, 4, 5, 5, 6, 7, 8, 8, 9, 10, 11, 11]",[]
15,phi3:14b-medium-128k-instruct-q4_K_M,False,"[1, 2, 3, 4, 5, 5, 6, 6, 7, 7, 8, 8, 9, 10, 11, 11]","[1, 3, 4, 5, 5, 6, 9, 10, 11]",[],"[1, 2, 3, 4, 5, 5, 6, 6, 7, 7, 8, 8, 9, 10, 11, 11]",[]
16,phi3:14b-medium-128k-instruct-q4_K_M,False,"[1, 2, 3, 4, 5, 5, 6, 7, 7, 8, 8, 9, 10, 11, 11]","[1, 3, 4, 5, 5, 6, 9, 10, 11]",[],"[1, 2, 3, 4, 5, 5, 6, 7, 7, 8, 8, 9, 10, 11, 11]",[]
17,phi3:14b-medium-128k-instruct-q4_K_M,False,"[1, 2, 3, 4, 5, 5, 6, 7, 7, 8, 8, 9, 10, 11, 11]","[1, 3, 4, 5, 5, 6, 9, 10, 11]",[],"[1, 2, 3, 4, 5, 5, 6, 7, 7, 8, 8, 9, 10, 11, 11]",[]
